timestamp,mission_time_s,status,altitude_m,velocity_ms,latitude,longitude,pitch_deg,yaw_deg,roll_deg,chamber_pressure_psi,battery_pct
2026-04-25T12:00:00.000Z,0.0,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,100.0
2026-04-25T12:00:00.100Z,0.1,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,100.0
2026-04-25T12:00:00.200Z,0.2,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.99
2026-04-25T12:00:00.300Z,0.3,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.98
2026-04-25T12:00:00.400Z,0.4,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.98
2026-04-25T12:00:00.500Z,0.5,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.97
2026-04-25T12:00:00.600Z,0.6,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.97
2026-04-25T12:00:00.700Z,0.7,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.97
2026-04-25T12:00:00.800Z,0.8,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.96
2026-04-25T12:00:00.900Z,0.9,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.95
2026-04-25T12:00:01.000Z,1.0,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.95
2026-04-25T12:00:01.100Z,1.1,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.94
2026-04-25T12:00:01.200Z,1.2,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.94
2026-04-25T12:00:01.300Z,1.3,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.94
2026-04-25T12:00:01.400Z,1.4,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.93
2026-04-25T12:00:01.500Z,1.5,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.92
2026-04-25T12:00:01.600Z,1.6,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.92
2026-04-25T12:00:01.700Z,1.7,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.92
2026-04-25T12:00:01.800Z,1.8,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.91
2026-04-25T12:00:01.900Z,1.9,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,0.0,99.91
2026-04-25T12:00:02.000Z,2.0,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.6,99.9
2026-04-25T12:00:02.100Z,2.1,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.96,99.89
2026-04-25T12:00:02.200Z,2.2,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.79,99.89
2026-04-25T12:00:02.300Z,2.3,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.27,99.89
2026-04-25T12:00:02.400Z,2.4,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.33,99.88
2026-04-25T12:00:02.500Z,2.5,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.38,99.88
2026-04-25T12:00:02.600Z,2.6,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.61,99.87
2026-04-25T12:00:02.700Z,2.7,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.69,99.86
2026-04-25T12:00:02.800Z,2.8,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.34,99.86
2026-04-25T12:00:02.900Z,2.9,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.69,99.86
2026-04-25T12:00:03.000Z,3.0,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.84,99.85
2026-04-25T12:00:03.100Z,3.1,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.22,99.84
2026-04-25T12:00:03.200Z,3.2,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.03,99.84
2026-04-25T12:00:03.300Z,3.3,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.12,99.83
2026-04-25T12:00:03.400Z,3.4,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.1,99.83
2026-04-25T12:00:03.500Z,3.5,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.69,99.83
2026-04-25T12:00:03.600Z,3.6,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.67,99.82
2026-04-25T12:00:03.700Z,3.7,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.71,99.81
2026-04-25T12:00:03.800Z,3.8,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.44,99.81
2026-04-25T12:00:03.900Z,3.9,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.25,99.81
2026-04-25T12:00:04.000Z,4.0,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.23,99.8
2026-04-25T12:00:04.100Z,4.1,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.06,99.8
2026-04-25T12:00:04.200Z,4.2,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.31,99.79
2026-04-25T12:00:04.300Z,4.3,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.05,99.78
2026-04-25T12:00:04.400Z,4.4,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,451.26,99.78
2026-04-25T12:00:04.500Z,4.5,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.48,99.78
2026-04-25T12:00:04.600Z,4.6,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.99,99.77
2026-04-25T12:00:04.700Z,4.7,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,449.07,99.77
2026-04-25T12:00:04.800Z,4.8,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,450.1,99.76
2026-04-25T12:00:04.900Z,4.9,PRE_LAUNCH,0.0,0.0,-39.2628,177.8645,90.0,0.0,0.0,448.43,99.75
2026-04-25T12:00:05.000Z,5.0,ASCENT,0.12,1.23,-39.2628,177.8645,90.0,0.007,0.0,454.37,99.75
2026-04-25T12:00:05.100Z,5.1,ASCENT,0.37,2.45,-39.2628,177.8645,90.0,-0.014,0.9,450.39,99.75
2026-04-25T12:00:05.200Z,5.2,ASCENT,0.74,3.68,-39.2628,177.8645,90.0,0.019,1.8,452.38,99.74
2026-04-25T12:00:05.300Z,5.3,ASCENT,1.23,4.91,-39.2628,177.8645,90.0,0.022,2.7,457.44,99.73
